Train Dataset,Train View,Train Model,Test Dataset,Test View,Accuracy,F1,ROC AUC,True Positives,False Positives,True Negatives,False Negatives
pklot,ufpr04_sunny,mobilenet,pklot,puc_cloudy,0.9932218707636692,0.9893817838603115,0.9938922981785482,4193,72,8995,18
pklot,puc_rainy,mobilenet,pklot,all_rainy,0.9931965982991495,0.9946168461051298,0.9927996237487671,6282,32,3645,36
pklot,puc_sunny,shufflenet,pklot,ufpr04_cloudy,0.9931454683929931,0.988367083153813,0.9885008517887564,1147,0,2765,27
pklot,all_cloudy,shufflenet,pklot,all,0.9931308021728509,0.9929222932954276,0.9932267290074963,33529,349,35579,129
pklot,puc,mobilenet,pklot,ufpr04_cloudy,0.9928915968519929,0.9880444064901793,0.9907706454802826,1157,11,2754,17
pklot,all,squeezenet,pklot,all_cloudy,0.9928428035262286,0.9905768788784187,0.9907263446378445,8620,3,14130,161
pklot,all_rainy,mobilenet,pklot,puc_sunny,0.9927539709199098,0.9922384991004883,0.9931900004018923,9652,143,11036,8
pklot,all,squeezenet,pklot,puc,0.992692643141692,0.9920267489711934,0.9921582195400751,19285,21,22828,289
pklot,all_cloudy,shufflenet,pklot,ufpr04_sunny,0.9926495726495727,0.9933508582031854,0.9930737211724502,3212,8,2595,35
pklot,ufpr04_cloudy,mobilenet,pklot,ufpr04_sunny,0.9924786324786324,0.9932266009852216,0.9923482665106158,3226,23,2580,21
pklot,puc_sunny,shufflenet,pklot,ufpr04_rainy,0.992462311557789,0.987603305785124,0.9877551020408164,239,0,551,6
cnr,cnr_park_ext_cloudy,shufflenet,cnr,cnr_park_ext_cloudy,0.9923163841807909,0.9926724137931034,0.9922982021459579,2303,17,2088,17
cnr,cnr_park_ext,mobilenet,cnr,cnr_park_ext_cloudy,0.9923163841807909,0.9926975945017182,0.9921221025473012,2311,25,2080,9
cnr,all,mobilenet,cnr,cnr_park_ext_rainy,0.9922769640479361,0.992108843537415,0.992212711882684,1823,8,1903,21
cnr,all,shufflenet,cnr,all,0.9922564265312599,0.9930563460443939,0.9921522763220534,8724,61,6909,61
pklot,puc_cloudy,shufflenet,pklot,all_rainy,0.992096048024012,0.993748516261771,0.9914743634941261,6279,40,3637,39
pklot,puc_rainy,shufflenet,pklot,all_rainy,0.992096048024012,0.9937809966149729,0.9895985956179953,6312,73,3604,6
pklot,puc,mobilenet,pklot,all_rainy,0.9919959979989995,0.9936978099889712,0.989746822453135,6307,69,3608,11
